rule_id,line_id,line_type,direction,anchor_1_timestamp,anchor_1_price,anchor_2_timestamp,anchor_2_price,line_availability_timestamp,candidate_timestamp,candidate_pivot_type,candidate_pivot_price,line_price_at_candidate,signed_distance,absolute_distance,daily_high,daily_low,daily_range_intersects_line,reaction_candidate_timestamp,reaction_candidate_type,reaction_directionally_consistent,no_break_observation,evidence_status
MURPHY_0006,GBPUSD_D1_STRUCTURE_PIVOT_SEQUENCE_V2.csv::LOW::2,LOW,UP,2016-01-26,1.40792,2016-01-29,1.41732,2016-02-01,2016-02-08,LOW,1.41492,1.448653,-0.033733,0.033733,1.45467,1.43512,True,2016-02-10,HIGH,True,OBSERVATION_ONLY,CANDIDATE_ONLY
MURPHY_0006,GBPUSD_D1_STRUCTURE_PIVOT_SEQUENCE_V2.csv::LOW::4,LOW,UP,2016-02-08,1.41492,2016-02-17,1.43512,2016-02-19,2016-02-29,LOW,1.42352,1.462053,-0.038533,0.038533,1.39462,1.38358,False,2016-03-07,HIGH,False,OBSERVATION_ONLY,CANDIDATE_ONLY
MURPHY_0006,GBPUSD_D1_STRUCTURE_PIVOT_SEQUENCE_V2.csv::LOW::7,LOW,UP,2016-03-10,1.38358,2016-03-16,1.4118,2016-03-18,2016-03-24,LOW,1.4053,1.449427,-0.044127,0.044127,1.41826,1.40572,False,2016-03-30,HIGH,False,OBSERVATION_ONLY,CANDIDATE_ONLY
